,participant,GT,GS
400,605eda49ba869b0aa71d373e,True,True
401,605f1e7fba869b0aa71d3ac9,True,False
402,605fcd68ba869b0aa71d3d65,False,True
403,605fe289ba869b0aa71d3e08,False,False
404,60608252ba869b0aa71d499c,True,True
405,6060ddf8ba869b0aa71d55b5,True,False
406,6060de22ba869b0aa71d55b8,False,True
407,60612c88ba869b0aa71d6f47,False,False
408,606178bcba869b0aa71d74ab,True,True
409,6061e1d4ba869b0aa71d7caa,True,False
410,6062263dba869b0aa71d7ef9,False,True
411,6062ca02ba869b0aa71d8745,False,False
412,6062cd31ba869b0aa71d8994,True,True
413,606302afba869b0aa71d8ae4,True,False
414,60631f96ba869b0aa71d8f4b,False,True
415,60633ce7ba869b0aa71d92e4,False,False
416,60638ea0ba869b0aa71d9f95,True,True
417,60645762ba869b0aa71db831,True,False
418,60652e90ba869b0aa71df5e7,False,True
419,6066401aba869b0aa71e11dd,False,False
420,60669c89e1dff50acdb84e94,True,True
421,6066a250e1dff50acdb84e9c,True,False
422,606705c0e1dff50acdb8503f,False,True
423,60671206e1dff50acdb85523,False,False
424,6067bc02e1dff50acdb85574,True,True
425,60689853e1dff50acdb855c3,True,False
426,6068cbbde1dff50acdb8585f,False,True
427,606970c9e1dff50acdb86754,False,False
428,60697567e1dff50acdb86796,True,True
429,6069905fe1dff50acdb867f0,True,False
430,606a7e96e1dff50acdb88999,False,True
431,606aef3ae1dff50acdb88a99,False,False
432,606b17f0e1dff50acdb88f47,True,True
433,606b4911e1dff50acdb8983d,True,False
434,606b527ae1dff50acdb89cc1,False,True
