,participant,part,enjoyment,effort,motivation,worthwhile,concent,subgoals,hints,subgoalGraphics,thumbnailGraphics,other,timestamp,harderOrEasier,future
72,6018f5a0f8a80c12afba21ec,1,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,Brilliant effort from your side for the beginners like me . It was very fruitful for me .  ,2021-02-02T11:50:58.49Z,,
73,6018f4c5f8a80c12afba21b9,2,5.0,5.0,5.0,5.0,5.0,,,,,Good plate form,2021-02-02T11:51:02.783Z,,
74,6018f3b6f8a80c12afba2184,2,5.0,5.0,5.0,5.0,5.0,,,,,,2021-02-02T11:59:31.876Z,,
75,6018f3a9f8a80c12afba217e,2,4.0,2.0,1.0,2.0,5.0,,,2.0,,,2021-02-02T12:00:48.885Z,,
76,601927d2f8a80c12afba9286,2,1.0,5.0,1.0,2.0,5.0,,,,,,2021-02-02T12:10:21.955Z,,
77,6018f5fef8a80c12afba21ff,2,5.0,3.0,5.0,5.0,4.0,,,,,,2021-02-02T12:10:46.652Z,,
78,6018f660f8a80c12afba2217,1,4.0,5.0,3.0,3.0,4.0,2.0,2.0,,2.0,,2021-02-02T12:24:13.095Z,,
79,601927d2f8a80c12afba9286,3,2.0,3.0,3.0,3.0,3.0,5.0,5.0,,4.0,,2021-02-02T12:27:24.021Z,3.0,
80,6018f6ebf8a80c12afba227b,1,4.0,4.0,2.0,3.0,4.0,4.0,5.0,3.0,4.0,,2021-02-02T12:31:30.028Z,,
81,6018f7b8f8a80c12afba2403,2,4.0,4.0,5.0,4.0,5.0,,,5.0,,,2021-02-02T12:43:01.269Z,,
82,6018f410f8a80c12afba2194,2,4.0,5.0,5.0,3.0,5.0,,,,,,2021-02-02T12:48:51.264Z,,
83,6018f660f8a80c12afba2217,3,4.0,5.0,3.0,3.0,4.0,2.0,2.0,,2.0,,2021-02-02T12:52:47.285Z,5.0,
84,6018fd16f8a80c12afba2cd5,2,3.0,4.0,3.0,4.0,4.0,,,4.0,,,2021-02-02T12:53:42.258Z,,
85,6019275ff8a80c12afba906a,1,3.0,3.0,4.0,,,,,,,,2021-02-02T12:58:16.69Z,,
86,6018f697f8a80c12afba2235,2,5.0,5.0,5.0,5.0,5.0,,,5.0,,,2021-02-02T12:59:23.243Z,,
87,60193a1cf8a80c12afbb4284,1,5.0,4.0,4.0,5.0,5.0,3.0,5.0,,3.0,,2021-02-02T13:02:47.448Z,,
88,6018f723f8a80c12afba2369,2,5.0,5.0,5.0,5.0,5.0,,,5.0,,,2021-02-02T13:27:05.164Z,,
89,6018f3bcf8a80c12afba2189,2,4.0,5.0,4.0,4.0,4.0,,,5.0,,quite interactive,2021-02-02T13:27:29.012Z,,
90,6018f517f8a80c12afba21c8,2,,5.0,2.0,2.0,2.0,,,2.0,,,2021-02-02T13:37:31.134Z,,
91,6018f44df8a80c12afba219c,2,4.0,4.0,4.0,3.0,4.0,,,3.0,,,2021-02-02T13:43:29.804Z,,
92,60191b2af8a80c12afba6602,1,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,2021-02-02T13:46:30.441Z,,
93,60194527f8a80c12afbba1bf,1,5.0,4.0,4.0,4.0,5.0,4.0,5.0,,2.0,,2021-02-02T13:53:49.932Z,,
94,6018f495f8a80c12afba21aa,3,2.0,2.0,3.0,2.0,3.0,3.0,3.0,,3.0,,2021-02-02T14:07:54.221Z,2.0,"Yes
"
95,60190373f8a80c12afba3a90,2,4.0,5.0,4.0,4.0,5.0,,,4.0,,,2021-02-02T14:08:42.01Z,,
96,6018fd31f8a80c12afba2cf5,2,2.0,3.0,3.0,,4.0,,,,,,2021-02-02T14:12:04.624Z,,
97,6018f56af8a80c12afba21e0,3,3.0,5.0,4.0,5.0,5.0,5.0,4.0,,3.0,,2021-02-02T14:29:52.901Z,3.0,Yes absolutely! I learned very interesting things today
98,6018f3bcf8a80c12afba2189,3,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,,2021-02-02T15:42:07.585Z,5.0,Yeah! I got some new skills which will help in data wrangling.
99,601963bff8a80c12afbc316c,1,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,,2021-02-02T15:58:21.941Z,,
100,6018fd16f8a80c12afba2cd5,3,2.0,4.0,4.0,3.0,,,,,2.0,,2021-02-02T15:58:45.246Z,4.0,
101,60193a1cf8a80c12afbb4284,2,4.0,5.0,3.0,4.0,5.0,,,,,,2021-02-02T16:03:15.713Z,,
102,60190c05f8a80c12afba4a8f,1,,,,,,,,,,,2021-02-02T16:26:26.827Z,,
103,6018f4bbf8a80c12afba21b3,3,4.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,,2021-02-02T16:46:25.136Z,5.0,yes
104,60196af9f8a80c12afbc4bac,1,1.0,1.0,1.0,1.0,,,,,,,2021-02-02T16:51:11.206Z,,
105,601927c8f8a80c12afba9261,2,2.0,2.0,3.0,2.0,2.0,,,,,,2021-02-02T16:58:03.74Z,,
106,601927c8f8a80c12afba9261,2,2.0,2.0,2.0,2.0,2.0,,,,,,2021-02-02T17:01:24.473Z,,
107,60192845f8a80c12afba9525,2,4.0,5.0,4.0,4.0,4.0,,,3.0,,,2021-02-02T17:03:56.588Z,,
108,6018fd31f8a80c12afba2cf5,3,2.0,5.0,4.0,,5.0,4.0,5.0,,3.0,,2021-02-02T17:32:01.741Z,5.0,
109,60190373f8a80c12afba3a90,3,4.0,4.0,4.0,3.0,,5.0,5.0,5.0,4.0,,2021-02-02T17:57:16.31Z,3.0,
110,6018f697f8a80c12afba2235,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,2021-02-02T18:12:15.698Z,5.0,
111,6018f7b8f8a80c12afba2403,3,2.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,,2021-02-02T18:14:35.107Z,4.0,
