,participant,qid,nr_attempts,nr_subgoals,nr_attempts_per_subgoal
211,601925c8f8a80c12afba89d6,access2,2,2,1.0
212,601925def8a80c12afba8a6a,access2,7,2,3.5
213,601925eff8a80c12afba8a91,access2,3,2,1.5
214,60192601f8a80c12afba8aa9,access2,3,2,1.5
215,60192610f8a80c12afba8ad7,access2,4,2,2.0
216,6019268bf8a80c12afba8d22,access2,3,2,1.5
217,601926a6f8a80c12afba8dda,access2,5,2,2.5
218,601926c6f8a80c12afba8eaa,access2,27,2,13.5
219,6019275ff8a80c12afba906a,access2,3,2,1.5
220,60192799f8a80c12afba9199,access2,2,2,1.0
221,601927c8f8a80c12afba9261,access2,9,2,4.5
222,601927d2f8a80c12afba9286,access2,3,2,1.5
223,601927dbf8a80c12afba9299,access2,5,2,2.5
224,6019281bf8a80c12afba93fa,access2,4,2,2.0
225,60192845f8a80c12afba9525,access2,4,2,2.0
226,601928eef8a80c12afba98e0,access2,25,2,12.5
227,60192904f8a80c12afba994e,access2,1,2,0.5
228,6019290ff8a80c12afba996f,access2,5,2,2.5
229,6019291bf8a80c12afba99cf,access2,20,2,10.0
230,60192a03f8a80c12afbaa059,access2,92,2,46.0
231,60192a0cf8a80c12afbaa0b1,access2,3,2,1.5
232,60192a78f8a80c12afbaa48e,access2,3,2,1.5
233,60193056f8a80c12afbad1c3,access2,3,2,1.5
234,60193331f8a80c12afbaedd5,access2,13,2,6.5
235,60193a1cf8a80c12afbb4284,access2,10,2,5.0
236,60194527f8a80c12afbba1bf,access2,4,2,2.0
237,60195993f8a80c12afbc0b90,access2,44,2,22.0
238,601963bff8a80c12afbc316c,access2,43,2,21.5
239,60196af9f8a80c12afbc4bac,access2,116,2,58.0
240,601a16cef8a80c12afbd712f,access2,1,2,0.5
241,601ad24ff8a80c12afbdde77,access2,34,2,17.0
242,601ba4acf8a80c12afbdee12,access2,2,2,1.0
243,601beec0f8a80c12afbe12ac,access2,5,2,2.5
244,601c0004f8a80c12afbe1803,access2,12,2,6.0
245,601c0011f8a80c12afbe180d,access2,2,2,1.0
246,601c0016f8a80c12afbe1810,access2,11,2,5.5
247,601c0028f8a80c12afbe1819,access2,4,2,2.0
248,601c003af8a80c12afbe1828,access2,8,2,4.0
249,601c005ef8a80c12afbe185c,access2,2,2,1.0
250,601c005ff8a80c12afbe185f,access2,2,2,1.0
251,601c0063f8a80c12afbe1862,access2,18,2,9.0
252,601c009bf8a80c12afbe1896,access2,2,2,1.0
253,601c00c4f8a80c12afbe18aa,access2,5,2,2.5
254,601c00e0f8a80c12afbe18d7,access2,2,2,1.0
255,601c0102f8a80c12afbe18ed,access2,5,2,2.5
256,601c0119f8a80c12afbe1910,access2,2,2,1.0
257,601c011ff8a80c12afbe1926,access2,1,2,0.5
258,601c0122f8a80c12afbe192a,access2,5,2,2.5
259,601c013cf8a80c12afbe1953,access2,7,2,3.5
260,601c0143f8a80c12afbe1959,access2,2,2,1.0
261,601c014cf8a80c12afbe1961,access2,4,2,2.0
262,601c014ef8a80c12afbe1964,access2,1,2,0.5
263,601c0153f8a80c12afbe196c,access2,4,2,2.0
264,601c0172f8a80c12afbe19d1,access2,1,2,0.5
265,601c018df8a80c12afbe19f8,access2,1,2,0.5
266,601c018ef8a80c12afbe19fe,access2,12,2,6.0
267,601c019af8a80c12afbe1a13,access2,3,2,1.5
268,601c01a9f8a80c12afbe1a26,access2,4,2,2.0
269,601c0246f8a80c12afbe1b2d,access2,2,2,1.0
270,601c025ef8a80c12afbe1b80,access2,1,2,0.5
271,601c0284f8a80c12afbe1c4d,access2,9,2,4.5
272,601c02a8f8a80c12afbe1c99,access2,21,2,10.5
273,601c02c4f8a80c12afbe1d5d,access2,52,2,26.0
274,601c030cf8a80c12afbe1e3f,access2,27,2,13.5
275,601d2755a6af0b0a8bd18def,access2,6,2,3.0
276,6027df88a6af0b0a8bd31fcc,access2,6,2,3.0
277,602a3ccea6af0b0a8bd3716d,access2,5,2,2.5
278,602eaa28a6af0b0a8bd3b5e2,access2,2,2,1.0
279,602ee3d9a6af0b0a8bd3b607,access2,3,2,1.5
280,602fae39a6af0b0a8bd3dbfc,access2,3,2,1.5
281,60311173a6af0b0a8bd3ff53,access2,2,2,1.0
282,6032151aa6af0b0a8bd41497,access2,2,2,1.0
283,603648baa6af0b0a8bd4631e,access2,2,2,1.0
284,60390376a6af0b0a8bd49f38,access2,1,2,0.5
285,603a8e8ba6af0b0a8bd4c64e,access2,3,2,1.5
286,604243eaba869b0aa718df97,access2,1,2,0.5
287,604844e2ba869b0aa718e77a,access2,3,2,1.5
288,604b6696ba869b0aa718f328,access2,1,2,0.5
289,604c56b5ba869b0aa718f41e,access2,1,2,0.5
290,604c8482ba869b0aa71912a0,access2,3,2,1.5
291,604caa6fba869b0aa7193514,access2,4,2,2.0
292,604ccd32ba869b0aa71946ce,access2,4,2,2.0
293,604ce667ba869b0aa7194ebe,access2,4,2,2.0
294,604cf57bba869b0aa719567b,access2,1,2,0.5
295,604d966cba869b0aa7198348,access2,4,2,2.0
296,604da99bba869b0aa7198807,access2,21,2,10.5
297,604dad56ba869b0aa7198ae2,access2,6,2,3.0
298,604db12eba869b0aa71990ab,access2,4,2,2.0
299,604dbbbdba869b0aa7199855,access2,3,2,1.5
300,604de8b8ba869b0aa719e935,access2,1,2,0.5
301,604de995ba869b0aa719e9b1,access2,3,2,1.5
302,604de9d9ba869b0aa719e9b7,access2,1,2,0.5
303,604df9aeba869b0aa719f15f,access2,6,2,3.0
304,604e0417ba869b0aa719f964,access2,3,2,1.5
305,604e2b01ba869b0aa71a1704,access2,7,2,3.5
306,604e435cba869b0aa71a277f,access2,2,2,1.0
307,604eec79ba869b0aa71a5338,access2,2,2,1.0
308,604ef140ba869b0aa71a5347,access2,29,2,14.5
309,604ef27aba869b0aa71a5380,access2,5,2,2.5
310,604f1c3aba869b0aa71a7500,access2,2,2,1.0
311,604f33b1ba869b0aa71ab0ed,access2,9,2,4.5
312,604f34bbba869b0aa71ab4c1,access2,3,2,1.5
313,604f4f18ba869b0aa71b0013,access2,12,2,6.0
314,604f7d21ba869b0aa71b32b9,access2,4,2,2.0
315,604f7eb8ba869b0aa71b3404,access2,2,2,1.0
316,605242a8ba869b0aa71b5e1f,access2,1,2,0.5
317,60524f0dba869b0aa71b5e6b,access2,64,2,32.0
318,6053b5b0ba869b0aa71b6b23,access2,1,2,0.5
319,60558397ba869b0aa71b7814,access2,1,2,0.5
320,6055eb03ba869b0aa71b7cb7,access2,1,2,0.5
321,6055fb2bba869b0aa71b8107,access2,3,2,1.5
322,60562767ba869b0aa71b8b17,access2,2,2,1.0
323,60562da9ba869b0aa71b8d9a,access2,9,2,4.5
324,6056499dba869b0aa71b93e0,access2,1,2,0.5
325,60565047ba869b0aa71b9648,access2,3,2,1.5
326,6056bc57ba869b0aa71b9923,access2,5,2,2.5
327,60572242ba869b0aa71bd973,access2,1,2,0.5
328,60574d71ba869b0aa71bea44,access2,4,2,2.0
329,6057f3e1ba869b0aa71c057c,access2,1,2,0.5
330,60584643ba869b0aa71c06b5,access2,13,2,6.5
331,6058a23dba869b0aa71c0ca0,access2,1,2,0.5
332,6059eacbba869b0aa71c6501,access2,6,2,3.0
333,605a5ca1ba869b0aa71c848f,access2,2,2,1.0
334,605a99a9ba869b0aa71c84b3,access2,5,2,2.5
335,605b2cdaba869b0aa71c950f,access2,3,2,1.5
336,605c4db5ba869b0aa71cde48,access2,4,2,2.0
337,605cdb29ba869b0aa71d1034,access2,2,2,1.0
338,605e8a70ba869b0aa71d31bc,access2,2,2,1.0
339,605ed3a9ba869b0aa71d35cb,access2,2,2,1.0
340,605fe289ba869b0aa71d3e08,access2,5,2,2.5
341,6061e1d4ba869b0aa71d7caa,access2,9,2,4.5
342,6062263dba869b0aa71d7ef9,access2,2,2,1.0
343,60633ce7ba869b0aa71d92e4,access2,6,2,3.0
344,60638ea0ba869b0aa71d9f95,access2,6,2,3.0
345,606a7e96e1dff50acdb88999,access2,2,2,1.0
346,606aef3ae1dff50acdb88a99,access2,1,2,0.5
347,606b7a47e1dff50acdb8ac03,access2,6,2,3.0
348,606bed1de1dff50acdb8e41b,access2,5,2,2.5
349,607161e8e1dff50acdb9c3c2,access2,2,2,1.0
350,607314dce1dff50acdb9d355,access2,2,2,1.0
351,6079aa99e1dff50acdba0324,access2,3,2,1.5
352,607c6535e1dff50acdba0b81,access2,1,2,0.5
353,607dbfe1e1dff50acdba14c9,access2,3,2,1.5
354,60891dd5e1dff50acdba4788,access2,2,2,1.0
355,608b230ce1dff50acdba48d3,access2,3,2,1.5
356,608d0830e1dff50acdba4a76,access2,1,2,0.5
357,608d41b3e1dff50acdba68b2,access2,3,2,1.5
358,6091ae07e1dff50acdba9730,access2,4,2,2.0
359,6092d3e0e1dff50acdba9d03,access2,1,2,0.5
360,6095cc43d35efd0ab8825574,access2,3,2,1.5
361,6099392ad35efd0ab8825886,access2,2,2,1.0
362,60a123d8d35efd0ab8826169,access2,11,2,5.5
363,60a91d26d35efd0ab882663d,access2,2,2,1.0
364,60ad2545d35efd0ab8826a9d,access2,1,2,0.5
365,60106245db5b643e9ca0542f,calculate1,3,2,1.5
366,6014329e8a8fb97c0541f5d3,calculate1,1,2,0.5
367,60185e4ef8a80c12afba1014,calculate1,3,2,1.5
368,6018f410f8a80c12afba2194,calculate1,11,2,5.5
369,6018f44df8a80c12afba219c,calculate1,3,2,1.5
370,6018f495f8a80c12afba21aa,calculate1,28,2,14.0
371,6018f517f8a80c12afba21c8,calculate1,3,2,1.5
372,6018f5fff8a80c12afba2201,calculate1,1,2,0.5
373,6018f660f8a80c12afba2217,calculate1,34,2,17.0
374,6018f6ebf8a80c12afba227b,calculate1,27,2,13.5
375,6018f6f3f8a80c12afba2286,calculate1,11,2,5.5
376,6018f733f8a80c12afba2374,calculate1,3,2,1.5
377,6018f8bbf8a80c12afba253f,calculate1,1,2,0.5
378,6018f9d4f8a80c12afba2793,calculate1,2,2,1.0
379,6018fb66f8a80c12afba2a0e,calculate1,15,2,7.5
380,6018fd16f8a80c12afba2cd5,calculate1,5,2,2.5
381,6018fd31f8a80c12afba2cf5,calculate1,6,2,3.0
382,6018fe8ff8a80c12afba2fa8,calculate1,4,2,2.0
383,60190c05f8a80c12afba4a8f,calculate1,67,2,33.5
384,60191b2af8a80c12afba6602,calculate1,1,2,0.5
385,601924e3f8a80c12afba85d6,calculate1,6,2,3.0
386,601924edf8a80c12afba861d,calculate1,6,2,3.0
