,participant,gender,reason,language,english,excel,visual,r,python,timestamp
172,601c013cf8a80c12afbe1953,female,partofcourse,python,5,2,4,1,2,2021-02-04T14:18:01.598Z
173,601c025ef8a80c12afbe1b80,male,partofcourse,python,5,4,2,1,0,2021-02-04T14:20:34.914Z
174,601c0246f8a80c12afbe1b2d,female,partofcourse,python,5,5,2,1,0,2021-02-04T14:21:02.808Z
175,601c02a8f8a80c12afbe1c99,female,partofcourse,python,5,2,4,1,1,2021-02-04T14:21:16.243Z
176,601c0266f8a80c12afbe1b97,female,partofcourse,python,5,4,5,1,0,2021-02-04T14:21:16.309Z
177,601c0266f8a80c12afbe1b97,female,partofcourse,python,5,4,5,1,0,2021-02-04T14:21:16.625Z
178,601c0266f8a80c12afbe1b97,female,partofcourse,python,5,4,5,1,0,2021-02-04T14:21:17.604Z
179,601c0266f8a80c12afbe1b97,female,partofcourse,python,5,4,5,1,0,2021-02-04T14:21:18.037Z
180,601c0284f8a80c12afbe1c4d,female,partofcourse,python,4,3,4,1,0,2021-02-04T14:21:18.397Z
181,601c0266f8a80c12afbe1b97,female,partofcourse,python,5,4,5,1,0,2021-02-04T14:21:19.038Z
182,601c02c4f8a80c12afbe1d5d,female,partofcourse,python,5,3,4,1,1,2021-02-04T14:21:41.212Z
183,601c030cf8a80c12afbe1e3f,female,project,python,3,2,5,0,0,2021-02-04T14:26:13.232Z
184,601c2b20f8a80c12afbefe74,male,ebook,python,2,4,2,2,3,2021-02-04T17:14:10.368Z
185,601c6e7bf8a80c12afbf2ff5,male,curiosity,python,5,4,2,1,1,2021-02-04T22:03:36.92Z
186,601d2755a6af0b0a8bd18def,male,curiosity,r,5,5,3,1,4,2021-02-05T11:10:55.376Z
187,601d4127a6af0b0a8bd19920,male,partofcourse,python,3,5,4,2,4,2021-02-05T13:00:20.767Z
188,601d6caaa6af0b0a8bd1badb,female,jobsearch,python,4,3,3,1,0,2021-02-05T16:07:58.541Z
189,601f3546a6af0b0a8bd1e5fd,female,jobsearch,python,5,4,2,3,4,2021-02-07T00:33:49.46Z
190,60200e96a6af0b0a8bd1f1ec,male,curiosity,python,5,4,2,2,4,2021-02-07T16:01:50.47Z
191,6020b3d4a6af0b0a8bd2254c,male,ebook,python,2,4,2,2,4,2021-02-08T03:46:54.834Z
192,6021968ea6af0b0a8bd27418,female,jobsearch,python,2,4,2,0,0,2021-02-08T19:54:10.576Z
193,602220c2a6af0b0a8bd28b75,male,research,python,2,3,1,0,3,2021-02-09T05:45:09.045Z
194,60237970a6af0b0a8bd2b659,male,curiosity,python,5,3,4,3,5,2021-02-10T06:15:02.477Z
195,602518e9a6af0b0a8bd2c4e4,male,partofcourse,python,2,2,5,5,3,2021-02-11T11:48:20.818Z
196,60253716a6af0b0a8bd2c579,male,partofcourse,python,2,3,5,5,4,2021-02-11T18:00:39.896Z
197,60257b2fa6af0b0a8bd2c85c,male,jobsearch,python,5,4,4,3,3,2021-02-11T18:46:07.397Z
198,6027df88a6af0b0a8bd31fcc,female,research,python,5,4,2,0,2,2021-02-13T14:20:30.574Z
199,602a3ccea6af0b0a8bd3716d,female,partofcourse,python,5,2,5,1,1,2021-02-15T09:21:44.377Z
200,602ada93a6af0b0a8bd3a878,male,curiosity,python,5,4,2,1,2,2021-02-15T20:34:47.19Z
201,602956fda6af0b0a8bd34b4d,male,partofcourse,python,4,4,4,4,4,2021-02-16T04:01:43.893Z
202,602e3d9ba6af0b0a8bd3b399,male,curiosity,python,4,4,2,3,4,2021-02-18T10:14:02.485Z
203,602e9b3aa6af0b0a8bd3b578,male,curiosity,python,5,4,3,4,2,2021-02-18T16:52:59.624Z
204,602eaa28a6af0b0a8bd3b5e2,male,curiosity,python,5,2,1,2,3,2021-02-18T17:56:59.603Z
205,602ee3d9a6af0b0a8bd3b607,female,research,python,3,3,0,0,0,2021-02-18T22:04:30.254Z
206,602f0596a6af0b0a8bd3b61b,other,jobsearch,python,0,0,0,0,0,2021-02-19T00:26:19Z
207,602f18faa6af0b0a8bd3b6f5,male,curiosity,python,2,2,2,3,3,2021-02-19T01:49:24.989Z
208,602f7b89a6af0b0a8bd3bddd,female,ebook,python,3,2,2,0,3,2021-02-19T08:50:54.931Z
209,602f8914a6af0b0a8bd3c671,male,jobsearch,python,5,4,2,0,4,2021-02-19T09:49:30Z
210,602fae39a6af0b0a8bd3dbfc,female,jobsearch,python,4,5,1,2,4,2021-02-19T12:27:41.366Z
211,602faf5ba6af0b0a8bd3dc17,prefernot,Other,python,0,0,0,0,0,2021-02-19T12:31:00.241Z
212,60308698a6af0b0a8bd3f58d,male,jobsearch,python,2,3,3,1,2,2021-02-20T03:54:43.583Z
213,6031027aa6af0b0a8bd3fbdf,male,curiosity,python,4,0,3,0,3,2021-02-20T12:38:20.324Z
214,60311003a6af0b0a8bd3ff4d,male,curiosity,python,3,2,2,2,4,2021-02-20T13:36:03.884Z
215,60311173a6af0b0a8bd3ff53,female,partofcourse,python,5,5,4,1,1,2021-02-20T13:42:07.119Z
216,60312899a6af0b0a8bd40126,male,partofcourse,python,4,4,1,4,1,2021-02-20T15:21:03.164Z
